"Accession","X.10lgP","X.Unique","X.Spec.Sample.1","X.Spec.Sample.2","X.Spec.Sample.3","X.Spec.Sample.4","X.Spec.Sample.5","PTM","Description","ProteinID","Accession.Number","Accession.New","MouseGeneName"
"P17710|HXK1_MOUSE",242.51,13,8,3,11,6,6,"Carbamidomethylation","Hexokinase-1 OS=Mus musculus GN=Hk1 PE=1 SV=3","P17710","HXK1_MOUSE","HXK1_MOUSE","Hk1"
"Q99JI6|RAP1B_MOUSE",242.35,4,8,10,7,4,7,"Carbamidomethylation; Deamidation (NQ)","Ras-related protein Rap-1b OS=Mus musculus GN=Rap1b PE=1 SV=2","Q99JI6","RAP1B_MOUSE","RAP1B_MOUSE","Rap1b"
"Q9DCX2|ATP5H_MOUSE",242.12,10,10,4,6,7,9,"Carbamidomethylation","ATP synthase subunit d  mitochondrial OS=Mus musculus GN=Atp5h PE=1 SV=3","Q9DCX2","ATP5H_MOUSE","ATP5H_MOUSE","Atp5h"
"O35343|IMA3_MOUSE",242,10,8,4,5,7,6,"Carbamidomethylation","Importin subunit alpha-3 OS=Mus musculus GN=Kpna4 PE=1 SV=1","O35343","IMA3_MOUSE","IMA3_MOUSE","Kpna4"
"Q9QUR6|PPCE_MOUSE",241.9,9,6,5,4,2,3,"Carbamidomethylation; Deamidation (NQ)","Prolyl endopeptidase OS=Mus musculus GN=Prep PE=1 SV=1","Q9QUR6","PPCE_MOUSE","PPCE_MOUSE","Prep"
"Q8QZT1|THIL_MOUSE",241.89,9,4,5,3,6,4,"Carbamidomethylation","Acetyl-CoA acetyltransferase  mitochondrial OS=Mus musculus GN=Acat1 PE=1 SV=1","Q8QZT1","THIL_MOUSE","THIL_MOUSE","Acat1"
"P63158|HMGB1_MOUSE",241.79,9,7,4,7,3,6,"","High mobility group protein B1 OS=Mus musculus GN=Hmgb1 PE=1 SV=2","P63158","HMGB1_MOUSE","HMGB1_MOUSE","Hmgb1"
"Q61699|HS105_MOUSE",241.74,12,7,3,4,4,4,"Carbamidomethylation","Heat shock protein 105 kDa OS=Mus musculus GN=Hsph1 PE=1 SV=2","Q61699","HS105_MOUSE","HS105_MOUSE","Hsph1"
"P67778|PHB_MOUSE",241.06,11,8,5,4,6,4,"Carbamidomethylation","Prohibitin OS=Mus musculus GN=Phb PE=1 SV=1","P67778","PHB_MOUSE","PHB_MOUSE","Phb"
"Q922Q8|LRC59_MOUSE",241.01,9,5,6,1,4,6,"Carbamidomethylation","Leucine-rich repeat-containing protein 59 OS=Mus musculus GN=Lrrc59 PE=1 SV=1","Q922Q8","LRC59_MOUSE","LRC59_MOUSE","Lrrc59"
"P49312|ROA1_MOUSE",240.95,10,9,10,8,9,10,"Carbamidomethylation","Heterogeneous nuclear ribonucleoprotein A1 OS=Mus musculus GN=Hnrnpa1 PE=1 SV=2","P49312","ROA1_MOUSE","ROA1_MOUSE","Hnrnpa1"
"P15532|NDKA_MOUSE",240.67,7,12,9,10,12,14,"Carbamidomethylation; Oxidation (M)","Nucleoside diphosphate kinase A OS=Mus musculus GN=Nme1 PE=1 SV=1","P15532","NDKA_MOUSE","NDKA_MOUSE","Nme1"
"P51410|RL9_MOUSE",240.63,9,6,16,13,8,15,"Carbamidomethylation; Deamidation (NQ)","60S ribosomal protein L9 OS=Mus musculus GN=Rpl9 PE=2 SV=2","P51410","RL9_MOUSE","RL9_MOUSE","Rpl9"
"Q9Z1N5|DX39B_MOUSE",240.6,5,9,10,2,6,5,"Carbamidomethylation; Deamidation (NQ)","Spliceosome RNA helicase Ddx39b OS=Mus musculus GN=Ddx39b PE=1 SV=1","Q9Z1N5","DX39B_MOUSE","DX39B_MOUSE","Ddx39b"
"O35639|ANXA3_MOUSE",240.52,11,13,7,8,9,12,"Carbamidomethylation","Annexin A3 OS=Mus musculus GN=Anxa3 PE=1 SV=4","O35639","ANXA3_MOUSE","ANXA3_MOUSE","Anxa3"
"O09061|PSB1_MOUSE",240.49,10,8,9,5,4,4,"Carbamidomethylation; Deamidation (NQ)","Proteasome subunit beta type-1 OS=Mus musculus GN=Psmb1 PE=1 SV=1","O09061","PSB1_MOUSE","PSB1_MOUSE","Psmb1"
"P47955|RLA1_MOUSE",240.34,8,4,7,4,5,7,"Carbamidomethylation","60S acidic ribosomal protein P1 OS=Mus musculus GN=Rplp1 PE=1 SV=1","P47955","RLA1_MOUSE","RLA1_MOUSE","Rplp1"
"Q04857|CO6A1_MOUSE",239.97,10,7,2,1,6,5,"Carbamidomethylation; Deamidation (NQ)","Collagen alpha-1(VI) chain OS=Mus musculus GN=Col6a1 PE=1 SV=1","Q04857","CO6A1_MOUSE","CO6A1_MOUSE","Col6a1"
"O55135|IF6_MOUSE",239.91,7,4,5,3,5,3,"Carbamidomethylation","Eukaryotic translation initiation factor 6 OS=Mus musculus GN=Eif6 PE=1 SV=2","O55135","IF6_MOUSE","IF6_MOUSE","Eif6"
"Q0GNC1|INF2_MOUSE",239.67,11,9,3,7,6,4,"Carbamidomethylation; Deamidation (NQ)","Inverted formin-2 OS=Mus musculus GN=Inf2 PE=1 SV=1","Q0GNC1","INF2_MOUSE","INF2_MOUSE","Inf2"
"Q9DB77|QCR2_MOUSE",239.65,12,8,7,1,4,7,"Deamidation (NQ)","Cytochrome b-c1 complex subunit 2  mitochondrial OS=Mus musculus GN=Uqcrc2 PE=1 SV=1","Q9DB77","QCR2_MOUSE","QCR2_MOUSE","Uqcrc2"
"Q8BFR5|EFTU_MOUSE",239.48,13,10,7,5,4,4,"Carbamidomethylation","Elongation factor Tu  mitochondrial OS=Mus musculus GN=Tufm PE=1 SV=1","Q8BFR5","EFTU_MOUSE","EFTU_MOUSE","Tufm"
"P21956|MFGM_MOUSE",239.47,8,7,5,2,2,7,"Carbamidomethylation","Lactadherin OS=Mus musculus GN=Mfge8 PE=1 SV=3","P21956","MFGM_MOUSE","MFGM_MOUSE","Mfge8"
"Q8R1F1|NIBL1_MOUSE",238.29,9,6,2,6,4,3,"Carbamidomethylation; Deamidation (NQ)","Niban-like protein 1 OS=Mus musculus GN=Fam129b PE=1 SV=2","Q8R1F1","NIBL1_MOUSE","NIBA2_MOUSE","Fam129b"
"P23492|PNPH_MOUSE",238.01,11,7,5,8,4,4,"Carbamidomethylation; Deamidation (NQ)","Purine nucleoside phosphorylase OS=Mus musculus GN=Pnp PE=1 SV=2","P23492","PNPH_MOUSE","PNPH_MOUSE","Pnp"
"Q7TMK9|HNRPQ_MOUSE",238,9,6,3,5,5,7,"Carbamidomethylation","Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus GN=Syncrip PE=1 SV=2","Q7TMK9","HNRPQ_MOUSE","HNRPQ_MOUSE","Syncrip"
"Q99L45|IF2B_MOUSE",237.93,11,4,8,6,4,4,"Carbamidomethylation","Eukaryotic translation initiation factor 2 subunit 2 OS=Mus musculus GN=Eif2s2 PE=1 SV=1","Q99L45","IF2B_MOUSE","IF2B_MOUSE","Eif2s2"
"Q9D0F9|PGM1_MOUSE",237.92,12,8,3,6,7,5,"Carbamidomethylation; Deamidation (NQ)","Phosphoglucomutase-1 OS=Mus musculus GN=Pgm1 PE=1 SV=4","Q9D0F9","PGM1_MOUSE","PGM1_MOUSE","Pgm1"
"P28656|NP1L1_MOUSE",237.75,9,6,3,7,4,8,"Carbamidomethylation","Nucleosome assembly protein 1-like 1 OS=Mus musculus GN=Nap1l1 PE=1 SV=2","P28656","NP1L1_MOUSE","NP1L1_MOUSE","Nap1l1"
"Q8BH59|CMC1_MOUSE",237.16,11,6,6,6,4,6,"Carbamidomethylation; Deamidation (NQ)","Calcium-binding mitochondrial carrier protein Aralar1 OS=Mus musculus GN=Slc25a12 PE=1 SV=1","Q8BH59","CMC1_MOUSE","CMC1_MOUSE","Slc25a12"
"P16627|HS71L_MOUSE",237.09,3,7,8,8,9,9,"Carbamidomethylation; Deamidation (NQ)","Heat shock 70 kDa protein 1-like OS=Mus musculus GN=Hspa1l PE=1 SV=4","P16627","HS71L_MOUSE","HS71L_MOUSE","Hspa1l"
"Q9JMH6|TRXR1_MOUSE",237.05,7,4,1,3,2,3,"Carbamidomethylation","Thioredoxin reductase 1  cytoplasmic OS=Mus musculus GN=Txnrd1 PE=1 SV=3","Q9JMH6","TRXR1_MOUSE","TRXR1_MOUSE","Txnrd1"
"Q3TZZ7|ESYT2_MOUSE",236.43,10,2,2,5,5,5,"Carbamidomethylation","Extended synaptotagmin-2 OS=Mus musculus GN=Esyt2 PE=1 SV=1","Q3TZZ7","ESYT2_MOUSE","ESYT2_MOUSE","Esyt2"
"Q91V92|ACLY_MOUSE",236.3,11,6,4,6,3,7,"Carbamidomethylation; Deamidation (NQ)","ATP-citrate synthase OS=Mus musculus GN=Acly PE=1 SV=1","Q91V92","ACLY_MOUSE","ACLY_MOUSE","Acly"
"Q8BG05|ROA3_MOUSE",235.75,11,7,9,5,7,7,"Carbamidomethylation","Heterogeneous nuclear ribonucleoprotein A3 OS=Mus musculus GN=Hnrnpa3 PE=1 SV=1","Q8BG05","ROA3_MOUSE","ROA3_MOUSE","Hnrnpa3"
"O55131|SEPT7_MOUSE",235.66,10,7,4,7,8,8,"Carbamidomethylation; Deamidation (NQ)","Septin-7 OS=Mus musculus GN=Sept7 PE=1 SV=1","O55131","SEPT7_MOUSE","SEPT7_MOUSE","Sept7"
"Q7M6Y3|PICAL_MOUSE",235.38,8,2,5,4,5,4,"Deamidation (NQ)","Phosphatidylinositol-binding clathrin assembly protein OS=Mus musculus GN=Picalm PE=1 SV=1","Q7M6Y3","PICAL_MOUSE","PICAL_MOUSE","Picalm"
"P26043|RADI_MOUSE",235.34,3,9,10,9,10,10,"","Radixin OS=Mus musculus GN=Rdx PE=1 SV=3","P26043","RADI_MOUSE","RADI_MOUSE","Rdx"
"P27046|MA2A1_MOUSE",235.23,14,8,4,4,4,2,"Carbamidomethylation","Alpha-mannosidase 2 OS=Mus musculus GN=Man2a1 PE=1 SV=2","P27046","MA2A1_MOUSE","MA2A1_MOUSE","Man2a1"
"Q91W90|TXND5_MOUSE",235.19,11,6,5,6,4,5,"Carbamidomethylation","Thioredoxin domain-containing protein 5 OS=Mus musculus GN=Txndc5 PE=1 SV=2","Q91W90","TXND5_MOUSE","TXND5_MOUSE","Txndc5"
"P70398|USP9X_MOUSE",235.14,13,7,2,5,5,6,"Carbamidomethylation","Probable ubiquitin carboxyl-terminal hydrolase FAF-X OS=Mus musculus GN=Usp9x PE=1 SV=2","P70398","USP9X_MOUSE","USP9X_MOUSE","Usp9x"
"Q9JII6|AK1A1_MOUSE",234.79,9,7,2,4,2,2,"Carbamidomethylation","Alcohol dehydrogenase [NADP(+)] OS=Mus musculus GN=Akr1a1 PE=1 SV=3","Q9JII6","AK1A1_MOUSE","AK1A1_MOUSE","Akr1a1"
"P97429|ANXA4_MOUSE",234.63,12,9,6,9,6,8,"Carbamidomethylation","Annexin A4 OS=Mus musculus GN=Anxa4 PE=1 SV=4","P97429","ANXA4_MOUSE","ANXA4_MOUSE","Anxa4"
"Q9QUI0|RHOA_MOUSE",234.49,2,6,7,6,5,11,"Carbamidomethylation","Transforming protein RhoA OS=Mus musculus GN=Rhoa PE=1 SV=1","Q9QUI0","RHOA_MOUSE","RHOA_MOUSE","Rhoa"
"Q62159|RHOC_MOUSE",234.31,4,7,7,6,4,12,"Carbamidomethylation; Deamidation (NQ)","Rho-related GTP-binding protein RhoC OS=Mus musculus GN=Rhoc PE=1 SV=2","Q62159","RHOC_MOUSE","RHOC_MOUSE","Rhoc"
"P63276|RS17_MOUSE",234.17,9,8,4,5,5,8,"Carbamidomethylation; Deamidation (NQ)","40S ribosomal protein S17 OS=Mus musculus GN=Rps17 PE=1 SV=2","P63276","RS17_MOUSE","RS17_MOUSE","Rps17"
"Q60864|STIP1_MOUSE",234.13,10,5,9,2,6,9,"Carbamidomethylation","Stress-induced-phosphoprotein 1 OS=Mus musculus GN=Stip1 PE=1 SV=1","Q60864","STIP1_MOUSE","STIP1_MOUSE","Stip1"
"Q9R0N0|GALK1_MOUSE",233.87,8,5,2,6,2,2,"Carbamidomethylation; Deamidation (NQ)","Galactokinase OS=Mus musculus GN=Galk1 PE=1 SV=2","Q9R0N0","GALK1_MOUSE","GALK1_MOUSE","Galk1"
"Q8VEE1|LMCD1_MOUSE",233.79,10,7,5,5,6,4,"Carbamidomethylation; Deamidation (NQ)","LIM and cysteine-rich domains protein 1 OS=Mus musculus GN=Lmcd1 PE=1 SV=1","Q8VEE1","LMCD1_MOUSE","LMCD1_MOUSE","Lmcd1"
"P97384|ANX11_MOUSE",232.52,9,9,5,9,4,7,"Carbamidomethylation","Annexin A11 OS=Mus musculus GN=Anxa11 PE=1 SV=2","P97384","ANX11_MOUSE","ANX11_MOUSE","Anxa11"
"P19096|FAS_MOUSE",232.47,11,10,3,2,8,0,"Carbamidomethylation; Deamidation (NQ)","Fatty acid synthase OS=Mus musculus GN=Fasn PE=1 SV=2","P19096","FAS_MOUSE","FAS_MOUSE","Fasn"
"Q60931|VDAC3_MOUSE",232.32,6,5,5,4,6,6,"Carbamidomethylation; Deamidation (NQ)","Voltage-dependent anion-selective channel protein 3 OS=Mus musculus GN=Vdac3 PE=1 SV=1","Q60931","VDAC3_MOUSE","VDAC3_MOUSE","Vdac3"
"O35129|PHB2_MOUSE",232.26,11,8,4,5,5,7,"","Prohibitin-2 OS=Mus musculus GN=Phb2 PE=1 SV=1","O35129","PHB2_MOUSE","PHB2_MOUSE","Phb2"
"P02104|HBE_MOUSE",232.05,6,8,9,3,11,13,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Hemoglobin subunit epsilon-Y2 OS=Mus musculus GN=Hbb-y PE=1 SV=2","P02104","HBE_MOUSE","HBE_MOUSE","Hbb-y"
"P63085|MK01_MOUSE",231.84,6,6,3,3,4,4,"Carbamidomethylation","Mitogen-activated protein kinase 1 OS=Mus musculus GN=Mapk1 PE=1 SV=3","P63085","MK01_MOUSE","MK01_MOUSE","Mapk1"
"O55143|AT2A2_MOUSE",231.8,9,5,1,4,5,5,"Carbamidomethylation","Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Mus musculus GN=Atp2a2 PE=1 SV=2","O55143","AT2A2_MOUSE","AT2A2_MOUSE","Atp2a2"
"Q8R1Q8|DC1L1_MOUSE",231.77,8,6,4,2,4,3,"Carbamidomethylation","Cytoplasmic dynein 1 light intermediate chain 1 OS=Mus musculus GN=Dync1li1 PE=1 SV=1","Q8R1Q8","DC1L1_MOUSE","DC1L1_MOUSE","Dync1li1"
"P24452|CAPG_MOUSE",231.13,10,6,6,5,5,6,"Carbamidomethylation; Deamidation (NQ)","Macrophage-capping protein OS=Mus musculus GN=Capg PE=1 SV=2","P24452","CAPG_MOUSE","CAPG_MOUSE","Capg"
"Q80UG5|SEPT9_MOUSE",231.08,10,10,2,7,7,5,"Carbamidomethylation; Deamidation (NQ)","Septin-9 OS=Mus musculus GN=Sept9 PE=1 SV=1","Q80UG5","SEPT9_MOUSE","SEPT9_MOUSE","Sept9"
"P62082|RS7_MOUSE",230.87,10,7,10,9,9,11,"Deamidation (NQ)","40S ribosomal protein S7 OS=Mus musculus GN=Rps7 PE=2 SV=1","P62082","RS7_MOUSE","RS7_MOUSE","Rps7"
"Q9DB20|ATPO_MOUSE",230.68,7,8,5,5,4,4,"Carbamidomethylation; Deamidation (NQ)","ATP synthase subunit O  mitochondrial OS=Mus musculus GN=Atp5o PE=1 SV=1","Q9DB20","ATPO_MOUSE","ATPO_MOUSE","Atp5o"
"P19157|GSTP1_MOUSE",230.48,8,10,9,1,4,7,"Carbamidomethylation; Deamidation (NQ)","Glutathione S-transferase P 1 OS=Mus musculus GN=Gstp1 PE=1 SV=2","P19157","GSTP1_MOUSE","GSTP1_MOUSE","Gstp1"
"Q99JR5|TINAL_MOUSE",229.05,9,8,2,3,4,2,"Carbamidomethylation","Tubulointerstitial nephritis antigen-like OS=Mus musculus GN=Tinagl1 PE=1 SV=1","Q99JR5","TINAL_MOUSE","TINAL_MOUSE","Tinagl1"
"Q91V41|RAB14_MOUSE",228.9,9,7,4,6,6,9,"Deamidation (NQ)","Ras-related protein Rab-14 OS=Mus musculus GN=Rab14 PE=1 SV=3","Q91V41","RAB14_MOUSE","RAB14_MOUSE","Rab14"
"Q6P542|ABCF1_MOUSE",228.71,8,5,4,3,3,4,"Carbamidomethylation","ATP-binding cassette sub-family F member 1 OS=Mus musculus GN=Abcf1 PE=1 SV=1","Q6P542","ABCF1_MOUSE","ABCF1_MOUSE","Abcf1"
"P43883|PLIN2_MOUSE",228.41,8,7,6,7,6,5,"Carbamidomethylation","Perilipin-2 OS=Mus musculus GN=Plin2 PE=1 SV=2","P43883","PLIN2_MOUSE","PLIN2_MOUSE","Plin2"
"Q8R1B4|EIF3C_MOUSE",228.37,10,7,2,7,5,2,"Carbamidomethylation","Eukaryotic translation initiation factor 3 subunit C OS=Mus musculus GN=Eif3c PE=1 SV=1","Q8R1B4","EIF3C_MOUSE","EIF3C_MOUSE","Eif3c"
"Q8CDN6|TXNL1_MOUSE",228.25,7,7,3,5,7,6,"Carbamidomethylation; Deamidation (NQ)","Thioredoxin-like protein 1 OS=Mus musculus GN=Txnl1 PE=1 SV=3","Q8CDN6","TXNL1_MOUSE","TXNL1_MOUSE","Txnl1"
"P09586|PR3B1_MOUSE",228.04,8,8,5,6,3,2,"","Prolactin-3B1 OS=Mus musculus GN=Prl3b1 PE=1 SV=1","P09586","PR3B1_MOUSE","PR3B1_MOUSE","Prl3b1"
"Q9WUM3|COR1B_MOUSE",227.98,7,6,6,4,3,5,"Carbamidomethylation; Deamidation (NQ)","Coronin-1B OS=Mus musculus GN=Coro1b PE=1 SV=1","Q9WUM3","COR1B_MOUSE","COR1B_MOUSE","Coro1b"
"P56399|UBP5_MOUSE",227.97,9,3,5,1,5,5,"Deamidation (NQ)","Ubiquitin carboxyl-terminal hydrolase 5 OS=Mus musculus GN=Usp5 PE=1 SV=1","P56399","UBP5_MOUSE","UBP5_MOUSE","Usp5"
"Q9CQ19|MYL9_MOUSE",227.76,4,6,4,5,4,5,"Deamidation (NQ)","Myosin regulatory light polypeptide 9 OS=Mus musculus GN=Myl9 PE=1 SV=3","Q9CQ19","MYL9_MOUSE","MYL9_MOUSE","Myl9"
"P14685|PSMD3_MOUSE",227.24,12,5,9,3,4,3,"","26S proteasome non-ATPase regulatory subunit 3 OS=Mus musculus GN=Psmd3 PE=1 SV=3","P14685","PSMD3_MOUSE","PSMD3_MOUSE","Psmd3"
"P50543|S10AB_MOUSE",226.99,9,14,19,15,10,13,"Carbamidomethylation; Deamidation (NQ)","Protein S100-A11 OS=Mus musculus GN=S100a11 PE=1 SV=1","P50543","S10AB_MOUSE","S10AB_MOUSE","S100a11"
"Q8BIJ6|SYIM_MOUSE",226.19,10,5,4,3,4,5,"Carbamidomethylation; Deamidation (NQ)","Isoleucine--tRNA ligase  mitochondrial OS=Mus musculus GN=Iars2 PE=1 SV=1","Q8BIJ6","SYIM_MOUSE","SYIM_MOUSE","Iars2"
"Q99020|ROAA_MOUSE",226.06,8,5,5,2,4,6,"Carbamidomethylation","Heterogeneous nuclear ribonucleoprotein A/B OS=Mus musculus GN=Hnrnpab PE=1 SV=1","Q99020","ROAA_MOUSE","ROAA_MOUSE","Hnrnpab"
"P08228|SODC_MOUSE",225.98,7,9,9,8,5,7,"Carbamidomethylation; Deamidation (NQ)","Superoxide dismutase [Cu-Zn] OS=Mus musculus GN=Sod1 PE=1 SV=2","P08228","SODC_MOUSE","SODC_MOUSE","Sod1"
"Q8BMF4|ODP2_MOUSE",225.74,9,2,3,5,5,4,"Carbamidomethylation","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex  mitochondrial OS=Mus musculus GN=Dlat PE=1 SV=2","Q8BMF4","ODP2_MOUSE","ODP2_MOUSE","Dlat"
"Q60605|MYL6_MOUSE",225.64,11,10,10,9,12,14,"Carbamidomethylation; Deamidation (NQ)","Myosin light polypeptide 6 OS=Mus musculus GN=Myl6 PE=1 SV=3","Q60605","MYL6_MOUSE","MYL6_MOUSE","Myl6"
"Q61990|PCBP2_MOUSE",225.55,6,6,5,2,4,5,"Carbamidomethylation; Oxidation (M)","Poly(rC)-binding protein 2 OS=Mus musculus GN=Pcbp2 PE=1 SV=1","Q61990","PCBP2_MOUSE","PCBP2_MOUSE","Pcbp2"
"Q60715|P4HA1_MOUSE",225.21,11,6,6,2,5,4,"Carbamidomethylation","Prolyl 4-hydroxylase subunit alpha-1 OS=Mus musculus GN=P4ha1 PE=1 SV=2","Q60715","P4HA1_MOUSE","P4HA1_MOUSE","P4ha1"
"Q62470|ITA3_MOUSE",225.16,11,7,5,5,3,2,"Carbamidomethylation; Deamidation (NQ)","Integrin alpha-3 OS=Mus musculus GN=Itga3 PE=1 SV=1","Q62470","ITA3_MOUSE","ITA3_MOUSE","Itga3"
"P97351|RS3A_MOUSE",225.08,9,8,9,6,8,11,"Carbamidomethylation","40S ribosomal protein S3a OS=Mus musculus GN=Rps3a PE=1 SV=3","P97351","RS3A_MOUSE","RS3A_MOUSE","Rps3a"
"P61161|ARP2_MOUSE",224.89,10,7,3,9,2,1,"Carbamidomethylation; Deamidation (NQ)","Actin-related protein 2 OS=Mus musculus GN=Actr2 PE=1 SV=1","P61161","ARP2_MOUSE","ARP2_MOUSE","Actr2"
"Q93092|TALDO_MOUSE",224.78,11,8,4,5,4,8,"Carbamidomethylation; Deamidation (NQ)","Transaldolase OS=Mus musculus GN=Taldo1 PE=1 SV=2","Q93092","TALDO_MOUSE","TALDO_MOUSE","Taldo1"
"Q9D1A2|CNDP2_MOUSE",224.77,10,6,5,6,5,5,"Carbamidomethylation; Deamidation (NQ)","Cytosolic non-specific dipeptidase OS=Mus musculus GN=Cndp2 PE=1 SV=1","Q9D1A2","CNDP2_MOUSE","CNDP2_MOUSE","Cndp2"
"Q8BFZ9|ERLN2_MOUSE",224.74,9,7,3,7,5,4,"Carbamidomethylation","Erlin-2 OS=Mus musculus GN=Erlin2 PE=1 SV=1","Q8BFZ9","ERLN2_MOUSE","ERLN2_MOUSE","Erlin2"
"Q9DCT8|CRIP2_MOUSE",224.7,6,5,7,1,1,4,"Carbamidomethylation; Deamidation (NQ)","Cysteine-rich protein 2 OS=Mus musculus GN=Crip2 PE=1 SV=1","Q9DCT8","CRIP2_MOUSE","CRIP2_MOUSE","Crip2"
"Q8BFW7|LPP_MOUSE",224.32,8,2,3,0,4,5,"Carbamidomethylation","Lipoma-preferred partner homolog OS=Mus musculus GN=Lpp PE=1 SV=1","Q8BFW7","LPP_MOUSE","LPP_MOUSE","Lpp"
"P47738|ALDH2_MOUSE",224.17,9,5,1,2,2,1,"Carbamidomethylation","Aldehyde dehydrogenase  mitochondrial OS=Mus musculus GN=Aldh2 PE=1 SV=1","P47738","ALDH2_MOUSE","ALDH2_MOUSE","Aldh2"
"Q01730|RSU1_MOUSE",224.06,8,7,3,3,2,3,"","Ras suppressor protein 1 OS=Mus musculus GN=Rsu1 PE=1 SV=3","Q01730","RSU1_MOUSE","RSU1_MOUSE","Rsu1"
"Q8BU30|SYIC_MOUSE",223.32,13,10,3,5,2,3,"Carbamidomethylation; Deamidation (NQ)","Isoleucine--tRNA ligase  cytoplasmic OS=Mus musculus GN=Iars PE=1 SV=2","Q8BU30","SYIC_MOUSE","SYIC_MOUSE","Iars"
"Q3U1J4|DDB1_MOUSE",222.99,13,9,1,6,3,5,"Carbamidomethylation; Deamidation (NQ)","DNA damage-binding protein 1 OS=Mus musculus GN=Ddb1 PE=1 SV=2","Q3U1J4","DDB1_MOUSE","DDB1_MOUSE","Ddb1"
"P62827|RAN_MOUSE",222.89,11,9,10,4,4,5,"Carbamidomethylation; Deamidation (NQ)","GTP-binding nuclear protein Ran OS=Mus musculus GN=Ran PE=1 SV=3","P62827","RAN_MOUSE","RAN_MOUSE","Ran"
"P54775|PRS6B_MOUSE",222.45,8,7,6,3,6,6,"Deamidation (NQ)","26S proteasome regulatory subunit 6B OS=Mus musculus GN=Psmc4 PE=1 SV=2","P54775","PRS6B_MOUSE","PRS6B_MOUSE","Psmc4"
"Q9Z2W0|DNPEP_MOUSE",222.29,10,3,5,7,3,2,"Carbamidomethylation","Aspartyl aminopeptidase OS=Mus musculus GN=Dnpep PE=1 SV=2","Q9Z2W0","DNPEP_MOUSE","DNPEP_MOUSE","Dnpep"
"Q9EPL8|IPO7_MOUSE",222.01,10,6,2,2,6,2,"Carbamidomethylation","Importin-7 OS=Mus musculus GN=Ipo7 PE=1 SV=2","Q9EPL8","IPO7_MOUSE","IPO7_MOUSE","Ipo7"
"Q3TDN2|FAF2_MOUSE",221.91,10,3,6,5,3,2,"Carbamidomethylation; Deamidation (NQ)","FAS-associated factor 2 OS=Mus musculus GN=Faf2 PE=1 SV=2","Q3TDN2","FAF2_MOUSE","FAF2_MOUSE","Faf2"
"P54823|DDX6_MOUSE",221.36,8,4,4,0,5,5,"Carbamidomethylation; Deamidation (NQ)","Probable ATP-dependent RNA helicase DDX6 OS=Mus musculus GN=Ddx6 PE=1 SV=1","P54823","DDX6_MOUSE","DDX6_MOUSE","Ddx6"
"P62702|RS4X_MOUSE",220.92,13,4,4,8,8,7,"Carbamidomethylation","40S ribosomal protein S4  X isoform OS=Mus musculus GN=Rps4x PE=1 SV=2","P62702","RS4X_MOUSE","RS4X_MOUSE","Rps4x"
"P35486|ODPA_MOUSE",220.89,11,6,4,2,3,3,"Carbamidomethylation; Deamidation (NQ)","Pyruvate dehydrogenase E1 component subunit alpha  somatic form  mitochondrial OS=Mus musculus GN=Pdha1 PE=1 SV=1","P35486","ODPA_MOUSE","ODPA_MOUSE","Pdha1"
"P14148|RL7_MOUSE",220.74,11,6,8,4,5,7,"Carbamidomethylation; Deamidation (NQ)","60S ribosomal protein L7 OS=Mus musculus GN=Rpl7 PE=1 SV=2","P14148","RL7_MOUSE","RL7_MOUSE","Rpl7"
"Q9DBF1|AL7A1_MOUSE",220.74,8,4,4,7,5,3,"Carbamidomethylation; Deamidation (NQ)","Alpha-aminoadipic semialdehyde dehydrogenase OS=Mus musculus GN=Aldh7a1 PE=1 SV=4","Q9DBF1","AL7A1_MOUSE","AL7A1_MOUSE","Aldh7a1"
"Q9CQN1|TRAP1_MOUSE",220.56,6,3,3,6,5,2,"Deamidation (NQ)","Heat shock protein 75 kDa  mitochondrial OS=Mus musculus GN=Trap1 PE=1 SV=1","Q9CQN1","TRAP1_MOUSE","TRAP1_MOUSE","Trap1"
"P49722|PSA2_MOUSE",220.39,7,5,6,2,3,4,"","Proteasome subunit alpha type-2 OS=Mus musculus GN=Psma2 PE=1 SV=3","P49722","PSA2_MOUSE","PSA2_MOUSE","Psma2"
"P62821|RAB1A_MOUSE",220.38,4,5,7,7,4,6,"","Ras-related protein Rab-1A OS=Mus musculus GN=Rab1A PE=1 SV=3","P62821","RAB1A_MOUSE","RAB1A_MOUSE","Rab1A"
"Q5FWK3|RHG01_MOUSE",220.29,11,4,3,3,5,7,"Carbamidomethylation","Rho GTPase-activating protein 1 OS=Mus musculus GN=Arhgap1 PE=1 SV=1","Q5FWK3","RHG01_MOUSE","RHG01_MOUSE","Arhgap1"
"P62242|RS8_MOUSE",219.48,11,9,11,6,6,5,"Carbamidomethylation","40S ribosomal protein S8 OS=Mus musculus GN=Rps8 PE=1 SV=2","P62242","RS8_MOUSE","RS8_MOUSE","Rps8"
"P97372|PSME2_MOUSE",219.3,8,5,4,2,3,5,"Carbamidomethylation; Deamidation (NQ)","Proteasome activator complex subunit 2 OS=Mus musculus GN=Psme2 PE=1 SV=4","P97372","PSME2_MOUSE","PSME2_MOUSE","Psme2"
