"MouseGeneName","HumanGeneName"
"Gm22486","SNORD94"
"Mir30b","MIR30B"
"Tmem249","TMEM249"
"Rnu2-10","AC024051.3"
"Rnu2-10","AC024051.1"
"Rnu2-10","AC024051.4"
"Rnu2-10","RNU2-1"
"Gm23370","AC112786.2"
"Gata2","GATA2"
"Mir652","MIR652"
"Snord37","SNORD37"
"2410131K14Rik","C12orf49"
"Gm26922","SNORD114-26"
"Gm26402","RNU6-476P"
"Mdm4","MDM4"
"Ptges","PTGES"
"Rhox13","RHOXF1"
"Snord67","SNORD67"
"Kcnc3","KCNC3"
"Coq10b","COQ10B"
"3830403N18Rik","SYCP3"
"Slc16a3","SLC16A3"
"Tanc1","TANC1"
"Gm25210","SNORD116-2"
"Hc","C5"
"Gm24992","AP005431.1"
"Gm24992","AC007610.1"
"Olfr1416","OR6B2"
"Olfr1416","OR6B3"
"Krt35","KRT35"
"Mroh5","MROH5"
"Cldn17","CLDN17"
"Gm24336","SNORA12"
"Mir431","MIR431"
"Gm24291","RNU1-149P"
"Trir","TRIR"
"Smad1","SMAD1"
"Sly","SYCP3"
"Krt32","KRT32"
"Krtap5-2","KRTAP2-1"
"Krtap5-2","KRTAP2-2"
"Krtap5-2","KRTAP2-3"
"Krtap5-2","KRTAP2-4"
"Krtap5-2","KRTAP4-8"
"Krtap5-2","KRTAP4-16"
"Krtap5-2","KRTAP4-9"
"Krtap5-2","KRTAP4-11"
"Krtap5-2","KRTAP4-5"
"Krtap5-2","KRTAP4-4"
"Krtap5-2","KRTAP4-2"
"Krtap5-2","KRTAP4-1"
"Krtap5-2","KRTAP9-1"
"Krtap5-2","KRTAP9-2"
"Krtap5-2","KRTAP9-3"
"Krtap5-2","KRTAP9-8"
"Krtap5-2","KRTAP9-4"
"Krtap5-2","KRTAP9-9"
"Krtap5-2","KRTAP9-6"
"Krtap5-2","KRTAP9-7"
"Gm20908","SYCP3"
"Krt27","KRT27"
"Snord1a","SNORD1A"
"Gm22422","AP005431.1"
"Gm22422","AC007610.1"
"Gm21627","SYCP3"
"Mir425","MIR425"
"Gm23090","SNORD121A"
"Trmt10c","TRMT10C"
"Gm22131","SNORD116-2"
"Gm22776","SNORD116-2"
"Gm27520","AL353804.7"
"Gm23619","SNORD116-2"
"Csta3","CSTA"
"Gm44376","MIR544A"
"Gm25856","SNORD114-10"
"Cd79b","CD79B"
"Snord16a","SNORD16"
"Ddx46","DDX46"
"Gm24000","AC023389.1"
"Krtap24-1","KRTAP24-1"
"Gm23960","AC108667.1"
"Gm23960","AC069224.1"
"Gm20854","SPIN2B"
"Gm20854","SPIN2A"
"Mir16-2","MIR16-2"
"Mir181b-2","MIR181B2"
"Snora5c","SNORA5C"
"Cfdp1","CFDP1"
"Gm22767","SCARNA1"
"R3hcc1","R3HCC1"
"Trpc5os","TRPC5OS"
"Stfa1","CSTA"
"Nup133","NUP133"
"Gm11564","KRTAP4-3"
"Gm21118","SPIN2B"
"Gm21118","SPIN2A"
"Snord35a","SNORD35A"
"Mir299a","MIR299"
"Gm24251","RNU1-35P"
"Dnase1","DNASE1"
"Gm20916","SYCP3"
"Btbd19","BTBD19"
"Cd55b","CD55"
"Mis18a","MIS18A"
"Sumo2","SUMO2"
"Gpc1","GPC1"
"Cox7a2","COX7A2"
"Catspere1","CATSPERE"
"Prodh","AC007325.2"
"Snord72","SNORD72"
"Pomc","POMC"
"Gm20738","SPIN2B"
"Gm20738","SPIN2A"
"Gm20869","SYCP3"
"Mir7-1","MIR7-1"
"Gm22584","SNORD116-2"
"Gm21317","SYCP3"
"Oit3","OIT3"
"Pan2","PAN2"
"Trp53inp1","TP53INP1"
"Gm25155","SNORD116-2"
"Gm45618","KRTAP2-1"
"Gm45618","KRTAP2-2"
"Gm45618","KRTAP2-3"
"Gm45618","KRTAP2-4"
"Gm45618","KRTAP4-8"
"Gm45618","KRTAP4-16"
"Gm45618","KRTAP4-9"
"Gm45618","KRTAP4-11"
"Gm45618","KRTAP4-5"
"Gm45618","KRTAP4-4"
"Gm45618","KRTAP4-2"
"Gm45618","KRTAP4-1"
"Gm45618","KRTAP9-1"
"Gm45618","KRTAP9-2"
"Gm45618","KRTAP9-3"
"Gm45618","KRTAP9-8"
"Gm45618","KRTAP9-4"
"Gm45618","KRTAP9-9"
"Gm45618","KRTAP9-6"
"Gm45618","KRTAP9-7"
"Krtap3-2","KRTAP3-3"
"Krtap3-2","KRTAP3-2"
"1600002K03Rik","FAM174C"
"Gm29866","SYCP3"
"Nabp2","NABP2"
"Tmem132d","TMEM132D"
"Krtap4-9","KRTAP4-3"
"Gm23786","AC009163.2"
"Gm23786","AC010359.1"
"Snora19","SNORA19"
"Irx3","IRX3"
"Gm25899","RNU4-38P"
"Cstdc6","CSTA"
"Gm21366","SYCP3"
"Arpc3","ARPC3"
"Slc9a3r2","SLC9A3R2"
"Usp20","USP20"
"Raf1","RAF1"
"Gm26039","AC112786.2"
"OR5BS1P","OR5BS1P"
"Gm22359","RNU6-221P"
"Gm27786","AC051649.2"
"Ren1","REN"
"Cs","CS"
"Armc9","ARMC9"
"Gm42742","PAGR1"
"Gm22941","SNORD116-2"
"Gm26449","RNU6-456P"
"Gm24131","RNU6-813P"
"Gm24131","RNU6-426P"
"Maz","MAZ"
"Gm24431","AP003499.3"
"Sycp3","SYCP3"
"Nup85","NUP85"
"Gm24031","AL391095.1"
"Pls1","PLS1"
"Gm24635","RNU4-39P"
"Efcc1","EFCC1"
"Ndufa12","NDUFA12"
"Spata3","SPATA3"
"Gm20894","SYCP3"
"AI182371","C5"
"Gm21865","SYCP3"
"Mir124a-2","MIR124-2"
"Tbx5","TBX5"
"Gm23862","SNORD116-2"
"Cfap70","CFAP70"
"Gm28102","SYCP3"
"Snord116l15","SNORD116-2"
"Gm21258","SYCP3"
"H2aw","H2AW"
"Txndc15","TXNDC15"
"Gm23253","RNU6-615P"
"Gm23253","RNU6-1197P"
"Gm21760","SYCP3"
"Gm22794","RN7SKP129"
"Kiss1","KISS1"
"Gm24930","RN7SKP129"
"Mir761","MIR761"
"Gm20914","SPIN2B"
"Gm20914","SPIN2A"
"Gm22027","AC090022.1"
"Mrps16","MRPS16"
"Gm24518","SNORD116-2"
"Gm23118","RNU2-21P"
"Gm28998","SYCP3"
"Gm23207","RNU6-1299P"
"Prkrip1","PRKRIP1"
"Ldoc1","LDOC1"
"Tmcc3","TMCC3"
"Mir449a","MIR449A"
"Gm23995","AP005431.1"
"Gm23995","AC007610.1"
"Znrf1","ZNRF1"
"Mpc2","MPC2"
"Glt1d1","GLT1D1"
"Gm22046","SNORD116-2"
"Krtap1-5","KRTAP1-5"
"Krtap1-5","KRTAP1-4"
"Krtap1-5","KRTAP1-3"
"Krtap1-5","KRTAP1-1"
"Acpp","ACPP"
"Abcb10","ABCB10"
"Cr2","CR2"
"Gm20865","SPIN2B"
"Gm20865","SPIN2A"
"Gm24453","SNORA108"
"Gm24453","SNORD28B"
"Gm24453","SNORD28"
"Krtap9-5","KRTAP9-1"
"Gm23927","AC022021.1"
"Gm24067","SNORD105"
"Kif2c","KIF2C"
"Gm25583","RNU6-1"
"Mcts1","MCTS1"
"Mir30e","MIR30E"
"Krtap11-1","KRTAP11-1"
"Mir34a","MIR34A"
"Gm21721","SPIN2B"
"Gm21721","SPIN2A"
"Gm23089","SNORD116-2"
"Bcl2l14","BCL2L14"
"Gpr20","GPR20"
"Gm25058","AC112786.2"
"Gm27702","AP000769.3"
"Zg16","ZG16"
"Urb2","URB2"
"Cstdc5","CSTA"
"Irak4","AC093012.1"
"Usb1","USB1"
"Gpr142","GPR142"
"Gm23819","RNU6-197P"
"Slc15a4","SLC15A4"
"Prok2","PROK2"
"Gm20931","SYCP3"
"Gm27283","AC012354.9"
"Tiam1","TIAM1"
"Lsm6","LSM6"
"Gm24338","SNORA24B"
"Gm27640","AC004542.5"
"Gm24668","RNU6-175P"
"Nr2c1","NR2C1"
"Gm648","CT45A1"
"Gm648","CT45A3"
"Gm648","CT45A5"
"Gm648","CT45A6"
"Gm648","CT45A2"
"Gm648","CT45A7"
"Gm648","CT45A8"
"Gm648","CT45A9"
"Mcrip1","MCRIP1"
"Tsen2","TSEN2"
"Gm21812","SPIN2B"
"Gm21812","SPIN2A"
"Rad9b","RAD9B"
"Krt26","KRT26"
"Gm26165","AC023389.1"
"Zbtb18","ZBTB18"
"Gm23008","SNORD105B"
"Rtl4","RTL4"
"1700011L22Rik","C4orf51"
"Cngb1","CNGB1"
"Rbsn","RBSN"
"Mir489","MIR489"
"Snora15","SNORA15"
"Mir31","MIR31"
"Cplx1","CPLX1"
"Krtap10-10","KRTAP4-5"
"Krtap10-10","KRTAP9-1"
"Prmt1","PRMT1"
"Csnk1d","CSNK1D"
"Gm22138","AL355987.6"
"Gm22138","AL592546.1"
"Gm22138","AC078860.1"
"Gm28040","KISS1"
"Sf3b1","SF3B1"
"Mir770","MIR770"
"Gm20852","SPIN2B"
"Gm20852","SPIN2A"
"Gm22285","SNORD116-2"
"Twist2","TWIST2"
"Krtap3-1","KRTAP3-1"
"Gm20890","SYCP3"
"Nphp3","NPHP3"
"Nphp3","NPHP3-ACAD11"
"Snord116l12","SNORD116-2"
"n-R5s120","RNA5S14"
"Gm26285","RNU6-16P"
"Olfr288","OR10AD1"
"Snord116l4","SNORD116-2"
"Pecam1","PECAM1"
"Gm21310","SPIN2B"
"Gm21310","SPIN2A"
"Spin2g","SPIN2B"
"Spin2g","SPIN2A"
"Gm9508","KRTAP4-5"
"Gm9508","KRTAP9-1"
"Gm20906","SYCP3"
"Mir342","MIR342"
"4931428F04Rik","KIAA0895L"
"Mir29b-2","MIR29B2"
"Gm22417","SNORD116-2"
"Gm21650","SYCP3"
"Nron","NRON"
"Cd7","CD7"
"Gm25851","RNU6-481P"
"Gm26188","SNORD116-2"
"Gm22139","RNU6-740P"
"Gm28891","SYCP3"
"Gm11555","KRTAP4-7"
"Gm11555","KRTAP4-12"
"Gm11555","KRTAP4-6"
"Gm10058","SYCP3"
"Gm9639","KRTAP4-5"
"Gm9639","KRTAP9-1"
"Nxph4","NXPH4"
"Gm24183","AC115085.1"
"Mtr","MTR"
"Gm25600","RNU6-931P"
"Gm23925","SNORA71C"
"Scn4a","SCN4A"
"Rnu3b4","AC022021.1"
"Mir124a-3","MIR124-3"
"Gm24968","RNU6-5P"
"Gm24907","SNORA11E"
"Gm24907","SNORA11"
"Gm25187","SNORA71E"
"Rnu3b4","AC025614.1"
"Gm16430","SYCP3"
"Nxpe3","NXPE3"
"Gm23245","SNORA22B"
"Gm22500","RNU6-1152P"
"Zfp319","ZNF319"
"Gm26147","AC079945.1"
"Hvcn1","HVCN1"
"Wdr34","WDR34"
"Gm20820","SYCP3"
"Ndrg1","NDRG1"
"Dalrd3","DALRD3"
"Exosc6","EXOSC6"
"Mir20a","MIR20A"
"Krtap27-1","KRTAP27-1"
"Galnt2","GALNT2"
"Fbxo21","FBXO21"
"Gm27285","AC004386.4"
"Gm25157","SNORD116-2"
"Gm21778","SPIN2B"
"Gm21778","SPIN2A"
"Gm20772","SPIN2B"
"Gm20772","SPIN2A"
"Gm22128","SNORD116-2"
"Nr1h2","NR1H2"
"Lhx5","LHX5"
"Orai1","ORAI1"
"Gm22713","RNU6ATAC8P"
"n-R5s197","RNA5SP443"
"Sdhc","SDHC"
"Mir1a-1","MIR1-1"
"Mir30a","MIR30A"
"Mcm4","MCM4"
"Ptp4a3","PTP4A3"
"Kat6a","KAT6A"
"Gm25357","SNORD114-26"
"Mir155","MIR155"
"Snord45b","SNORD45B"
"Fgd6","FGD6"
"Mlkl","MLKL"
"Kcnip4","KCNIP4"
"Nicn1","NICN1"
"Gm24260","RNU6-5P"
"Pgap1","PGAP1"
"1700001O22Rik","C9orf50"
"Gm1993","SYCP3"
"Otos","OTOS"
"Snora28","SNORA28"
"Gm23296","RNU6-8"
"Gm23296","RNU6-7"
"Rab7","RAB7A"
"Dennd3","DENND3"
"Gm25790","RNU6-1"
"Gm22193","SNORD111B"
"Olfr287","OR10AD1"
"Gm25471","SNORD116-2"
"Gm25839","RNU6-1196P"
"Urod","UROD"
"Dcaf6","DCAF6"
"Gm23262","SNORD97"
"Gm24609","SNORD116-2"
"Trip4","TRIP4"
"Gm21861","SYCP3"
"Gm11596","KRTAP4-3"
"n-R5s125","RNA5S14"
"Gm24859","RNU6-8"
"Gm24859","RNU6-7"
"Mid1ip1","MID1IP1"
"Gm22165","RNU6-1012P"
"Krtap3-3","KRTAP3-3"
"Krtap3-3","KRTAP3-2"
"Pdpr","PDPR"
"Arhgef9","ARHGEF9"
"Mir744","MIR744"
"Gm26211","AC023389.1"
"Ccne2","CCNE2"
"Plekhf2","PLEKHF2"
"Gm20747","SPIN2B"
"Gm20747","SPIN2A"
"Gm20834","SPIN2B"
"Gm20834","SPIN2A"
"Gm23233","AC023389.1"
"Mir323","MIR323A"
"Slc52a2","SLC52A2"
"Ogt","OGT"
"Map9","MAP9"
"5730480H06Rik","PACRGL"
"Ssty1","SPIN2B"
"Ssty1","SPIN2A"
"Snord110","SNORD110"
"Gm20897","SYCP3"
"Ccdc184","CCDC184"
"Snord60","SNORD60"
"Tmem132c","TMEM132C"
"Pde12","PDE12"
"Snord116l3","SNORD116-2"
"Emc8","EMC8"
"Gm24391","RNU6-906P"
"Gm4559","KRTAP2-1"
"Gm4559","KRTAP2-2"
"Gm4559","KRTAP2-3"
"Gm4559","KRTAP2-4"
"Gm4559","KRTAP4-8"
"Gm4559","KRTAP4-16"
"Gm4559","KRTAP4-9"
"Gm4559","KRTAP4-11"
"Gm4559","KRTAP4-5"
"Gm4559","KRTAP4-4"
"Gm4559","KRTAP4-2"
"Gm4559","KRTAP4-1"
"Gm4559","KRTAP9-1"
"Gm4559","KRTAP9-2"
"Gm4559","KRTAP9-3"
"Gm4559","KRTAP9-8"
"Gm4559","KRTAP9-4"
"Gm4559","KRTAP9-9"
"Gm4559","KRTAP9-6"
"Gm4559","KRTAP9-7"
"Gm20905","SYCP3"
"Gm24097","RNU6-598P"
"Gm22127","RNU6-487P"
"Gm3238","KRTAP4-5"
"Gm3238","KRTAP9-1"
"1700040F15Rik","SYCP3"
"Foxf1","FOXF1"
"Cfap20","CFAP20"
"Gm22381","RNU6-786P"
"Gm23248","RNU6-98P"
"Gm28510","SYCP3"
"Gm27942","RNU6-549P"
"Slx4","SLX4"
"Acta1","ACTA1"
"Gm31571","SYCP3"
"Gm1123","AC136352.5"
"Stfa2l1","CSTA"
"Gm28897","SYCP3"
"Ttc21b","TTC21B"
"Gm25861","AC023389.1"
"Ints8","INTS8"
"Sept12","SEPTIN12"
"Krtap26-1","KRTAP26-1"
"Gm20911","SYCP3"
"Gm20736","SYCP3"
"Snora23","SNORA23"
"Adcy10","ADCY10"
"Rnft2","RNFT2"
"Gm21095","SYCP3"
"Catsper3","CATSPER3"
"Sdc2","SDC2"
"Gm23971","AC024051.3"
"Gm23971","AC024051.1"
"Gm23971","AC024051.4"
"Gm23971","RNU2-1"
"Gm22490","AL031650.1"
"Krt39","KRT39"
"Spdye4b","SPDYE6"
"Gm27435","AC012354.3"
"Mir29a","MIR29A"
"Snora20","SNORA20"
"Nkd1","NKD1"
"Gm22504","AC024060.1"
"Gm22504","AC096587.2"
"Hcfc1","HCFC1"
"Klhl34","KLHL34"
"Gm20918","SPIN2B"
"Gm20918","SPIN2A"
"Shmt2","SHMT2"
"Gm23981","RNU6-229P"
"Dnajc9","DNAJC9"
"Cox4i1","COX4I1"
"Tmem117","TMEM117"
"Gm24236","AC023389.1"
"Ptch2","PTCH2"
"Senp7","SENP7"
"Dram1","DRAM1"
"Gm27999","AC018659.5"
"Rps8","RPS8"
"Gm22676","SNORA11B"
"Snora43","SNORA17B"
"Gm21117","SYCP3"
"Rnf41","RNF41"
"Atp6v1f","ATP6V1F"
"Gm24029","SNORA67"
"Mir135a-2","MIR135A2"
"Gm22516","SNORA50B"
"Mir370","MIR370"
"Gpr161","GPR161"
"Snord14a","AC013267.1"
"March7","MARCHF7"
"Gm22265","RNU5F-7P"
"Gm24608","SNORA58"
"Mir874","MIR874"
"Gm23767","SNORD116-2"
"Ccdc136","CCDC136"
"Gm9507","KRTAP4-5"
"Gm9507","KRTAP9-1"
"Gga3","GGA3"
"Kif22","KIF22"
"Mir19a","MIR19A"
"Gm44365","MIR544A"
"Gm44477","MIR544A"
"E2f4","E2F4"
"DQ267100","SNORD114-26"
"Gm5926","SPIN2B"
"Gm5926","SPIN2A"
"Gm27337","AC012531.5"
"Mir208a","MIR208A"
"Gm26387","SNORA66"
"Asb1","ASB1"
"Cpt1c","CPT1C"
"Mir139","MIR139"
"Tiprl","TIPRL"
"Gm35134","SYCP3"
"Gm10024","KRTAP4-5"
"Rnf34","RNF34"
"Gm22478","AL160271.1"
"Gm22478","AL512326.2"
"Gm22478","AC002069.1"
"Uqcrb","UQCRB"
"Gm22562","RNA5SP443"
"Sema6c","SEMA6C"
"Gm22077","SNORD83A"
"Milr1","MILR1"
"Gm20822","SPIN2B"
"Gm20822","SPIN2A"
"Gm26295","RNU6-1"
"Scaf4","SCAF4"
"Gm23855","AC023389.1"
"Gm25038","AC118141.1"
"Gm25038","AC008915.1"
"Gm25038","AC009533.2"
"Lpcat2","LPCAT2"
"Gm23468","RNU6-838P"
"Gm25203","AC022021.1"
"Krt28","KRT28"
"Tmem170","TMEM170A"
"Rnu3b2","AC025614.1"
"Nol3","NOL3"
"Gpr107","GPR107"
"Gm23996","AP005431.1"
"Gm23996","AC007610.1"
"Gdf6","GDF6"
"Plekha6","PLEKHA6"
"Rnu73b","SNORD73B"
"Gm22981","SNORD114-10"
"Mpz","MPZ"
"Gm20937","SYCP3"
"Mir129b","MIR129-2"
"Gm26169","AP005431.1"
"Gm26169","AC007610.1"
"Ppp1r15b","PPP1R15B"
"Stfa2","CSTA"
"Rbm46","RBM46"
"Sod1","SOD1"
"Gm21996","SYCP3"
"Gm29110","SYCP3"
"Gm22947","AC023389.1"
"Tspan3","TSPAN3"
"Fa2h","FA2H"
"Amer1","AMER1"
"Gm25578","RNU6-354P"
"Gm26201","SNORD116-2"
"Gm22725","AC023389.1"
"Gm22864","AC093264.1"
"Snord15a","SNORD15A"
"Snord116l17","SNORD116-2"
"Itga9","ITGA9"
"Gm24896","SNORA16B"
"Gm23600","SNORD114-26"
"Gm23508","SNORD114-26"
"Snora52","SNORA52"
"Prss54","PRSS54"
"Glyr1","GLYR1"
"Gm23130","SNORD101"
"Gm23082","AC023389.1"
"Gm25178","AP000659.1"
"Gm25178","RN7SKP183"
"Gm23338","AC115085.1"
"Gm27580","AL354709.2"
"Isy1","ISY1-RAB43"
"Isy1","ISY1"
"Snord49a","SNORD49A"
"Gm27980","AC003657.2"
"Nkap","NKAP"
"Mir101a","MIR101-1"
"Gm23201","SNORD12B"
"Amot","AMOT"
"Gm25945","AL136296.1"
"Krtap7-1","KRTAP7-1"
"DQ267101","SNORD114-26"
"Dbx2","DBX2"
"Gm22984","RNU2-17P"
"Foxl1","FOXL1"
"Zpld1","ZPLD1"
"Gm22362","AP005431.1"
"Gm22362","AC007610.1"
"Trpc1","TRPC1"
"Gm33815","SPIN2B"
"Gm33815","SPIN2A"
"Gm6121","SYCP3"
"Gm32802","CDC5L"
"Cpa3","CPA3"
"Tm2d3","TM2D3"
"Cda","CDA"
"Slc27a4","SLC27A4"
"Lrrc8c","LRRC8C"
"Rad51ap1","RAD51AP1"
"Dennd1b","DENND1B"
"Ncapg","NCAPG"
"Cox7a1","COX7A1"
"Tbata","TBATA"
"Bpnt1","BPNT1"
"Fam120a","FAM120A"
"Obp2b","OBP2B"
"Olfr1222","OR4C15"
"Cdh5","CDH5"
"Vwa1","VWA1"
"Med7","MED7"
"Galnt7","GALNT7"
"Gm28047","ATF7"
"Gm28047","ATF7-NPFF"
"Sbf1","SBF1"
"Olfr178","OR5K4"
"Pax3","PAX3"
"Nol11","NOL11"
"Fam166b","FAM166B"
"Vmn1r236","VN1R4"
"Fuca2","FUCA2"
"Gm22472","RNU11-3P"
"Akap8l","AKAP8L"
"Ntsr1","NTSR1"
"Urm1","URM1"
"Zp1","ZP1"
"Tesmin","TESMIN"
"Trhr","TRHR"
"Olfr1214","OR4C15"
"Slc35g3","SLC35G5"
"Tagln3","TAGLN3"
"Gfra4","GFRA4"
"Agtr1a","AGTR1"
"Diras1","DIRAS1"
"Gm24438","Z95327.1"
"Snora2b","SNORA2B"
"Mir187","MIR187"
"Eif2b5","EIF2B5"
"Rpl9-ps1","RPL9"
"Gm22673","AC107376.1"
"Pigl","PIGL"
"Irf9","IRF9"
"Mybl1","MYBL1"
"Gimap7","GIMAP7"
"Noxa1","NOXA1"
"Xkrx","XKRX"
"Mir214","MIR214"
"Vim","VIM"
"Eef1g","EEF1G"
"Vmn1r233","VN1R4"
"Gm24134","AL162853.1"
"Gm24134","SNORD36A"
"Ulk1","ULK1"
"Mturn","MTURN"
"Frzb","FRZB"
"Gm24648","AC005774.1"
"Fam171a2","FAM171A2"
"AC132407.1","AC083977.1"
"Cnnm4","CNNM4"
"Lap3","LAP3"
"Scyl2","SCYL2"
"Wdr19","WDR19"
"Gm26332","SNORD116-4"
"Gm26332","SNORD116-6"
"Mt4","MT4"
"Htr6","HTR6"
"Dzip3","DZIP3"
"Olfr1201","OR4C11"
"Eif4e2","EIF4E2"
"Sntg1","SNTG1"
"Gm22890","AC009121.2"
"Zswim9","ZSWIM9"
"Gm26920","ZNF566"
"Lpgat1","LPGAT1"
"Magea4","MAGEA10"
"Htr4","HTR4"
"Gm22059","SNORD124"
"Mrps25","MRPS25"
"Parp14","PARP14"
"Rbm48","RBM48"
"Ogn","OGN"
"Gab3","GAB3"
"Ccr10","CCR10"
"Fmnl3","FMNL3"
"Sv2b","SV2B"
"Snord61","SNORD61"
"Gjd3","GJD3"
"Ptpn9","PTPN9"
"Blm","BLM"
"Olfr1258","OR4C13"
"Olfr1258","OR4C46"
"Fam131a","FAM131A"
"Olfr293","OR14C36"
"Gm27972","AL137060.5"
"Spaca7","SPACA7"
"Nos2","NOS2"
"Olfr1240","OR4A16"
"Hdac6","HDAC6"
"Olfr1238","OR4A8"
"Olfr1238","OR4A5"
"Nek2","NEK2"
"Gm22857","AL031276.1"
"Gm22857","AL078599.1"
"Plekhg1","PLEKHG1"
"Dnajc17","DNAJC17"
"A26c3","POTEA"
"Gm28016","AC109486.2"
"Jmy","JMY"
"Bicd2","BICD2"
"Msra","MSRA"
"Slc41a2","SLC41A2"
"Gm22779","RNU6-543P"
"Gm22779","RNU6-1240P"
"Mrpl48","MRPL48"
"C8b","C8B"
"Tarm1","TARM1"
"Mir365-1","MIR365A"
"Myef2","MYEF2"
"Ifrd2","IFRD2"
"Thumpd2","THUMPD2"
"Ssc5d","SSC5D"
"Ccrl2","CCRL2"
"Bbs1","AP002748.5"
"Bbs1","BBS1"
"Gabra3","GABRA3"
"B4galnt2","B4GALNT2"
"Kif17","KIF17"
"Ubxn10","UBXN10"
"Sprn","SPRN"
"Snord53","SNORD53"
"Magea2","MAGEA10"
"Arhgap36","ARHGAP36"
"Rtn2","RTN2"
"Kidins220","KIDINS220"
"Psme2b","PSME2"
"Ntpcr","NTPCR"
"Sestd1","SESTD1"
"Lbhd1","LBHD1"
"Tspan17","TSPAN17"
"Arl15","ARL15"
"Rbm39","RBM39"
"Ech1","ECH1"
"Zfp712","ZNF845"
"Gm22997","RNU6-244P"
"Snord116l9","SNORD116-4"
"Snord116l9","SNORD116-6"
"Tas1r1","TAS1R1"
"Ogfr","OGFR"
"Stambpl1","STAMBPL1"
"Rfc4","RFC4"
"Ptpn22","PTPN22"
"Pkmyt1","PKMYT1"
"Nop58","NOP58"
"Olfr151","OR8A1"
"Hook2","HOOK2"
"Unc13d","UNC13D"
"Acsl4","ACSL4"
"Zfp771","ZNF771"
"Lep","LEP"
"Gpm6b","GPM6B"
"Babam1","BABAM1"
"Babam1","AC010463.1"
"Ppp1r14bl","PPP1R14B"
"Tspan6","TSPAN6"
"Sec61g","SEC61G"
"Tubgcp3","TUBGCP3"
"Gm26413","SCARNA4"
"Serbp1","SERBP1"
"Gprin1","GPRIN1"
"Gbp6","GBP6"
"Gm24780","AC009121.2"
"Sytl4","SYTL4"
"Zbtb24","ZBTB24"
"Dmwd","DMWD"
"Nsmaf","NSMAF"
"Gm26504","SNORD116-4"
"Gm26504","SNORD116-6"
"Fpr-rs3","FPR2"
"Mageb1","MAGEB6B"
"Mageb1","MAGEB6"
"Gm22298","AC079926.1"
"Sbpl","ZG16B"
"Eya4","EYA4"
"Gm24284","SNORA80D"
"Arhgap40","ARHGAP40"
"Gm25944","SNORD116-4"
"Gm25944","SNORD116-6"
"Cdkl4","CDKL4"
"Slc35c2","SLC35C2"
"Gfra3","GFRA3"
"Arxes2","SPCS3"
"Kctd12","KCTD12"
"Mad2l2","MAD2L2"
"Gm50450","SNORA58B"
"Snord104","SNORD104"
"Ascc2","ASCC2"
"Gm23128","SNORA17A"
"Eif4enif1","EIF4ENIF1"
"Pmp2","PMP2"
"Ighv12-3","AC233755.1"
"Zfp646","ZNF646"
"Nlrp9b","NLRP9"
"4921539E11Rik","C1orf141"
"Runx3","RUNX3"
"Batf3","BATF3"
"Ppip5k2","PPIP5K2"
"Olfr1241","OR4A16"
"Tbkbp1","TBKBP1"
"Gm26368","AL031276.1"
"Gm26368","AL078599.1"
"Gm24711","SNORD116-4"
"Gm24711","SNORD116-6"
"Ndufa3","NDUFA3"
"Il6st","IL6ST"
"Ugt8a","UGT8"
"Cyp3a41a","CYP3A5"
"Cyp3a41a","CYP3A7"
"Cyp3a41a","CYP3A7-CYP3A51P"
"Cyp3a41a","CYP3A4"
"Cyp3a41a","CYP3A43"
"Hipk3","HIPK3"
"Cenpi","CENPI"
"Arhgap28","ARHGAP28"
"Ostm1","OSTM1"
"Donson","DONSON"
"Actrt1","ACTRT1"
"Mcoln1","MCOLN1"
"Gm25225","RNU6-898P"
"Unc93a2","UNC93A"
"Fry","FRY"
"Gm22338","AC078994.1"
"Gm22338","AC092821.1"
"Gm22394","AP001065.1"
"Pld4","PLD4"
"Hspb3","HSPB3"
"Hk2","HK2"
"Gdf10","GDF10"
"Ccr5","CCR5"
"Gcg","GCG"
"Gm24454","AC093605.1"
"Gm23446","SNORD116-4"
"Gm23446","SNORD116-6"
"Elmo1","ELMO1"
"Cxcr2","CXCR2"
"Nmral1","NMRAL1"
"Gm22276","AC107376.1"
"Sfxn2","SFXN2"
"Rims1","RIMS1"
"Gm22295","RNU6-4P"
"Med31","MED31"
"Gm25539","AC107376.1"
"Olfr1163","OR5D14"
"Gm24153","SNORD116-4"
"Gm24153","SNORD116-6"
"Neil2","NEIL2"
"Tuba3b","TUBA3D"
"Mir450-1","MIR450A1"
"Nudcd1","NUDCD1"
"B9d1","B9D1"
"Nck1","NCK1"
"Mirlet7i","MIRLET7I"
"Rara","RARA"
"Olfr170","OR2AJ1"
"Akip1","AKIP1"
"Gm24595","AC051619.8"
"Gm24595","AL157789.1"
"Dyrk1a","DYRK1A"
"Gal3st4","GAL3ST4"
"Nt5dc1","NT5DC1"
"Ctso","CTSO"
"Itgb1bp1","ITGB1BP1"
"Rala","RALA"
"Emc2","EMC2"
"Pxk","PXK"
"Commd5","COMMD5"
"Ankrd37","ANKRD37"
"Gm25431","RNU6-84P"
"Gm10256","RBMY1B"
"Qrsl1","QRSL1"
"Eaf1","EAF1"
"Rint1","RINT1"
"Gm14685","AC236972.4"
"Gm27636","AL049692.3"
"Gm23716","AC009121.2"
"Camk2a","CAMK2A"
"Cnot10","CNOT10"
"Snrpd2","SNRPD2"
"Dspp","DSPP"
"C2cd5","C2CD5"
"Zfp691","ZNF691"
"Mir199a-2","MIR199A2"
